Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume,Open Interest Lots,Traded Lots,Traded Volume,Number of Trades
6/19/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,41.89,,,,,,,,,,,,,,,,
6/19/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,42.89,,,,,,,,,,,,,,,,
6/19/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,37.39,,,,,,,,,,,,,,,,
6/18/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.73,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/18/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,30.73,30,2020-06-18T08:32:07,30.9,2020-06-18T16:54:47,30,2020-06-18T08:32:07,30.9,2020-06-18T17:01:34,773,"575,112 MWh",154,"18,596,280 MWh","24,995","1,220","907,680 MWh",171
6/18/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,30.86,30,2020-06-18T08:52:26,31.15,2020-06-18T16:35:00,30,2020-06-18T08:52:26,31.15,2020-06-18T16:41:18,130,"96,720 MWh",41,"5,775,672 MWh","7,763",635,"472,440 MWh",95
6/18/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,34.49,33.98,2020-06-18T10:05:05,34.85,2020-06-18T17:56:45,33.95,2020-06-18T10:07:01,34.85,2020-06-18T17:56:45,96,"69,120 MWh",26,"3,354,480 MWh","4,659",70,"50,400 MWh",12
6/18/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,34.61,34.35,2020-06-18T11:04:28,34.35,2020-06-18T11:04:28,34.35,2020-06-18T11:04:28,34.35,2020-06-18T11:04:28,5,"3,725 MWh",1,"660,070 MWh",886,100,"74,500 MWh",20
6/18/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,40.12,,,,,,,,,,,,"3,600 MWh",5,,,
6/18/2020,DEBM,2020-12,12/1/2020,12/31/2020,744 MWh,35.99,,,,,,,,,,,,"338,520 MWh",455,,,
6/18/2020,DEBM,2021-01,1/1/2021,1/31/2021,744 MWh,41.55,,,,,,,,,,,,,,,,
6/18/2020,DEBM,2021-02,2/1/2021,2/28/2021,672 MWh,42.41,,,,,,,,,,,,,,,,
6/18/2020,DEBM,2021-03,3/1/2021,3/31/2021,743 MWh,36.94,,,,,,,,,,,,,,,,
6/17/2020,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,26.32,,,,,,,,,,,,"154,049,760 MWh","213,958",,,
6/17/2020,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,30.09,30.5,2020-06-17T08:36:07,30.5,2020-06-17T08:36:07,29.7,2020-06-17T13:28:43,30.25,2020-06-17T17:59:55,702,"522,288 MWh",156,"17,347,848 MWh","23,317",783,"582,552 MWh",112
6/17/2020,DEBM,2020-08,8/1/2020,8/31/2020,744 MWh,29.98,29.85,2020-06-17T09:20:48,30.15,2020-06-17T10:55:12,29.75,2020-06-17T13:35:09,29.95,2020-06-17T16:55:20,102,"75,888 MWh",31,"5,351,592 MWh","7,193",198,"147,312 MWh",42
6/17/2020,DEBM,2020-09,9/1/2020,9/30/2020,720 MWh,33.88,33.8,2020-06-17T09:31:47,33.95,2020-06-17T16:40:57,33.8,2020-06-17T09:31:47,33.95,2020-06-17T16:41:00,41,"29,520 MWh",8,"3,252,240 MWh","4,517",110,"79,200 MWh",17
6/17/2020,DEBM,2020-10,10/1/2020,10/31/2020,745 MWh,33.72,33.7,2020-06-17T14:31:13,34.5,2020-06-17T15:18:36,33.7,2020-06-17T14:31:13,34.5,2020-06-17T15:18:36,10,"7,450 MWh",2,"581,845 MWh",781,50,"37,250 MWh",10
6/17/2020,DEBM,2020-11,11/1/2020,11/30/2020,720 MWh,38.57,,,,,,,,,,,,"3,600 MWh",5,,,
