Trading Day,Product,Maturity,Delivery Start,Delivery End,Lot Size,Settlement Price,Open Price,Timestamp Open Price ,High Price,Timestamp High Price,Low Price,Timestamp Low Price,Last  Price,Timestamp Last Price,Traded Lots,Traded Volume,Number of Trades,Open Interest Volume (prev. day),Open Interest Lots (prev. day),Traded Lots,Traded Volume,Number of Trades
10/3/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,43.45,,,,,,,,,,,,"4,458 MWh",6,,,
10/3/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,42.51,,,,,,,,,,,,,,,,
10/3/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,40.79,,,,,,,,,,,,,,,,
10/3/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,44.5,,,,,,,,,,,,,,,,
10/3/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,43.91,,,,,,,,,,,,,,,,
10/2/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,40.7,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/2/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,45.5,46,2019-10-02T08:17:45,46.35,2019-10-02T08:24:20,45.45,2019-10-02T16:40:03,45.45,2019-10-02T16:50:44,310,"223,200 MWh",98,"107,847,360 MWh","149,788",560,"403,200 MWh",107
10/2/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,44.01,44.8,2019-10-02T09:00:16,44.8,2019-10-02T09:00:16,43.9,2019-10-02T16:50:59,43.9,2019-10-02T16:50:59,93,"69,192 MWh",21,"106,411,344 MWh","143,026",80,"59,520 MWh",17
10/2/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,50.84,51.5,2019-10-02T09:33:25,51.5,2019-10-02T09:33:25,50.95,2019-10-02T15:41:40,50.95,2019-10-02T16:50:31,49,"36,456 MWh",8,"72,168 MWh",97,,,
10/2/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,51.21,51.75,2019-10-02T10:39:09,51.75,2019-10-02T10:39:09,51.5,2019-10-02T15:39:38,51.5,2019-10-02T15:39:38,15,"10,440 MWh",3,"11,832 MWh",17,,,
10/2/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.18,,,,,,,,,,,,"4,458 MWh",6,,,
10/2/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,43.18,,,,,,,,,,,,,,,,
10/2/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,41.56,,,,,,,,,,,,,,,,
10/2/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,45.34,,,,,,,,,,,,,,,,
10/2/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,44.75,,,,,,,,,,,,,,,,
10/1/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,41.4,,,,,,,,,,,,"121,505,775 MWh","163,095",,,
10/1/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,46.06,45.25,2019-10-01T08:37:30,46.6,2019-10-01T17:27:42,45.12,2019-10-01T10:19:42,46.5,2019-10-01T17:34:52,467,"336,240 MWh",155,"107,319,600 MWh","149,055",761,"547,920 MWh",89
10/1/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,44.59,44.25,2019-10-01T09:29:57,45.05,2019-10-01T17:23:16,44.1,2019-10-01T13:16:01,45,2019-10-01T17:32:53,221,"164,424 MWh",45,"106,321,320 MWh","142,905",321,"238,824 MWh",27
10/1/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,51.5,51.15,2019-10-01T13:26:33,51.9,2019-10-01T16:23:09,51.15,2019-10-01T13:26:33,51.9,2019-10-01T16:23:09,30,"22,320 MWh",3,"35,712 MWh",48,,,
10/1/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,51.67,,,,,,,,,,,,"1,392 MWh",2,,,
10/1/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.8,,,,,,,,,,,,"4,458 MWh",6,,,
10/1/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,43.6,,,,,,,,,,,,,,,,
10/1/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,42.01,,,,,,,,,,,,,,,,
10/1/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,45.83,,,,,,,,,,,,,,,,
10/1/2019,DEBM,2020-07,7/1/2020,7/31/2020,744 MWh,45.25,,,,,,,,,,,,,,,,
9/30/2019,DEBM,2019-09,9/1/2019,9/30/2019,720 MWh,35.75,,,,,,,,,,,,,,,,
9/30/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,40.55,40.05,2019-09-30T08:22:48,40.75,2019-09-30T15:55:08,39.9,2019-09-30T09:15:33,40.6,2019-09-30T17:01:31,297,"221,265 MWh",51,"121,623,485 MWh","163,253",409,"304,705 MWh",39
9/30/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,46.08,46.15,2019-09-30T08:45:39,46.16,2019-09-30T16:20:26,45.75,2019-09-30T09:18:21,45.8,2019-09-30T17:34:42,326,"234,720 MWh",90,"106,529,040 MWh","147,957",446,"321,120 MWh",80
9/30/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,44.85,44.7,2019-09-30T09:51:41,44.95,2019-09-30T13:34:55,44.65,2019-09-30T09:51:46,44.8,2019-09-30T16:38:56,97,"72,168 MWh",22,"105,962,712 MWh","142,423",458,"340,752 MWh",67
9/30/2019,DEBM,2020-01,1/1/2020,1/31/2020,744 MWh,52.07,,,,,,,,,,,,"13,392 MWh",18,,,
9/30/2019,DEBM,2020-02,2/1/2020,2/29/2020,696 MWh,51.69,,,,,,,,,,,,"1,392 MWh",2,,,
9/30/2019,DEBM,2020-03,3/1/2020,3/31/2020,743 MWh,44.81,,,,,,,,,,,,"4,458 MWh",6,,,
9/30/2019,DEBM,2020-04,4/1/2020,4/30/2020,720 MWh,43.88,,,,,,,,,,,,,,,,
9/30/2019,DEBM,2020-05,5/1/2020,5/31/2020,744 MWh,42.28,,,,,,,,,,,,,,,,
9/30/2019,DEBM,2020-06,6/1/2020,6/30/2020,720 MWh,46.14,,,,,,,,,,,,,,,,
9/27/2019,DEBM,2019-09,9/1/2019,9/30/2019,720 MWh,35.82,,,,,,,,,,,,"120,364,560 MWh","167,173",,,
9/27/2019,DEBM,2019-10,10/1/2019,10/31/2019,745 MWh,39.3,39.75,2019-09-27T09:06:42,39.8,2019-09-27T09:19:07,39.2,2019-09-27T15:23:26,39.3,2019-09-27T16:41:28,236,"175,820 MWh",57,"121,286,000 MWh","162,800",435,"324,075 MWh",60
9/27/2019,DEBM,2019-11,11/1/2019,11/30/2019,720 MWh,46.11,46.95,2019-09-27T09:06:40,46.95,2019-09-27T09:06:40,46.05,2019-09-27T16:33:33,46.15,2019-09-27T16:59:58,453,"326,160 MWh",142,"106,153,200 MWh","147,435",582,"419,040 MWh",79
9/27/2019,DEBM,2019-12,12/1/2019,12/31/2019,744 MWh,45.08,45.6,2019-09-27T09:19:51,45.8,2019-09-27T11:16:34,45,2019-09-27T15:37:44,45.15,2019-09-27T17:36:39,286,"212,784 MWh",58,"105,606,336 MWh","141,944",163,"121,272 MWh",13
