;;;;;;;;;;;;;;;;;;
;EEX Power Derivatives Phelix-DE-Base-Month-Future;;;;;;;;;;;;;;;;;
Trading Day;Contract;Delivery Period;Delivery Start;Delivery End;Contract Volume;Open Price;High Price;Low Price;Last Price;"Settlement
Price";Exchange Volume MWh;Exchange Traded Contracts;Exchange Number of Trades;TradeReg Volume MWh;TradeReg Traded Contracts;TradeReg Number of Trades;Open Interest MWh (prev. day);Open Interest Contracts (prev. day)
12-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
11-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;33,1;0;0;0;0;0;0;4161192;5593
11-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,45;43,7;43;43,7;43,35;47616;64;8;40920;55;7;821376;1104
11-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,55;44,55;44,3;44,3;44,3;57120;85;11;0;0;0;233856;348
11-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,55;37,55;37,55;37,55;37,75;5944;8;1;3715;5;1;447286;602
11-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35,18;0;0;0;0;0;0;162000;225
11-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,57;0;0;0;0;0;0;0;0
11-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,99;0;0;0;0;0;0;0;0
11-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;34,02;0;0;0;0;0;0;0;0
11-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35,53;0;0;0;0;0;0;0;0
11-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
08-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;34,23;0;0;0;0;0;0;4161192;5593
08-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;43,75;43,9;43,75;43,9;43,88;11160;15;2;30504;41;10;816912;1098
08-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,55;44,55;44,55;44,55;44,8;3360;5;1;3360;5;1;227136;338
08-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,35;37,35;37,35;37,35;37,4;3715;5;2;7430;10;2;436141;587
08-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;35;0;0;0;0;0;0;162000;225
08-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,42;0;0;0;0;0;0;0;0
08-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,78;0;0;0;0;0;0;0;0
08-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,92;0;0;0;0;0;0;0;0
08-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35,42;0;0;0;0;0;0;0;0
08-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
07-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;35,71;0;0;0;0;0;0;4161192;5593
07-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;44,2;44,4;44;44,4;44,3;37944;51;7;214272;288;55;592224;796
07-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,45;44,45;44,45;44,45;44,72;3360;5;1;57120;85;14;166656;248
07-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;36,55;36,55;36,55;36,55;36,85;4458;6;2;0;0;0;431683;581
07-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;34,55;34,75;34,55;34,75;34,65;69840;97;7;0;0;0;92160;128
07-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,07;0;0;0;0;0;0;0;0
07-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,4;0;0;0;0;0;0;0;0
07-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,51;0;0;0;0;0;0;0;0
07-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35;0;0;0;0;0;0;0;0
07-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
06-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;36,63;0;0;0;0;0;0;4161192;5593
06-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;44,9;45,05;44,48;44,65;44,57;89280;120;23;41664;56;12;491040;660
06-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;;;;;44,85;0;0;0;0;0;0;166656;248
06-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;;;;;36,99;0;0;0;0;0;0;431683;581
06-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;34,95;34,95;34,5;34,75;34,55;66960;93;6;0;0;0;25200;35
06-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,03;0;0;0;0;0;0;0;0
06-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,11;0;0;0;0;0;0;0;0
06-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,21;0;0;0;0;0;0;0;0
06-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;34,69;0;0;0;0;0;0;0;0
06-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
05-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;37,08;0;0;0;0;0;0;4161192;5593
05-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;45,8;45,8;45,55;45,6;45,46;26040;35;5;7440;10;2;472440;635
05-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,5;45,5;45,35;45,5;45,28;21504;32;7;3360;5;1;141792;211
05-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37;37,2;37;37,2;37,3;11145;15;4;0;0;0;420538;566
05-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,96;0;0;0;0;0;0;25200;35
05-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,25;0;0;0;0;0;0;0;0
05-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,46;0;0;0;0;0;0;0;0
05-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,45;0;0;0;0;0;0;0;0
05-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35,14;0;0;0;0;0;0;0;0
05-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
04-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;37,26;0;0;0;0;0;0;4161192;5593
04-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;45,9;46;45,75;45,95;46,04;42408;57;11;11160;15;3;433752;583
04-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;45,1;45,6;45,05;45,5;45,45;50400;75;12;13440;20;2;91392;136
04-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;37,2;37,2;37,2;37,2;37,16;3715;5;1;0;0;0;416823;561
04-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,84;0;0;0;0;0;0;25200;35
04-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,54;0;0;0;0;0;0;0;0
04-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,82;0;0;0;0;0;0;0;0
04-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,67;0;0;0;0;0;0;0;0
04-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;35,16;0;0;0;0;0;0;0;0
04-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
01-12-2017;DEBM;2017.12;01-12-17;31-12-17;744;;;;;38,24;0;0;0;0;0;0;4161192;5593
01-12-2017;DEBM;2018.01;01-01-18;31-01-18;744;44,95;45,6;44,95;45,6;45,45;31992;43;8;7440;10;2;417384;561
01-12-2017;DEBM;2018.02;01-02-18;28-02-18;672;;;;;44,58;0;0;0;0;0;0;91392;136
01-12-2017;DEBM;2018.03;01-03-18;31-03-18;743;36,55;36,55;36,55;36,55;36,5;3715;5;1;0;0;0;413108;556
01-12-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,49;0;0;0;0;0;0;25200;35
01-12-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;32,09;0;0;0;0;0;0;0;0
01-12-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,33;0;0;0;0;0;0;0;0
01-12-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,36;0;0;0;0;0;0;0;0
01-12-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;34,85;0;0;0;0;0;0;0;0
01-12-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
30-11-2017;DEBM;2017.12;01-12-17;31-12-17;744;38;38,2;37,6;37,6;37,63;106392;143;17;17112;23;5;4090512;5498
30-11-2017;DEBM;2018.01;01-01-18;31-01-18;744;45,1;45,1;44,9;44,95;44,91;24552;33;7;744;1;1;395808;532
30-11-2017;DEBM;2018.02;01-02-18;28-02-18;672;44,8;44,8;44,6;44,6;44,58;10080;15;2;0;0;0;81312;121
30-11-2017;DEBM;2018.03;01-03-18;31-03-18;743;36,55;36,55;36,55;36,55;36,34;3715;5;3;0;0;0;409393;551
30-11-2017;DEBM;2018.04;01-04-18;30-04-18;720;;;;;34,14;0;0;0;0;0;0;25200;35
30-11-2017;DEBM;2018.05;01-05-18;31-05-18;744;;;;;31,7;0;0;0;0;0;0;0;0
30-11-2017;DEBM;2018.06;01-06-18;30-06-18;720;;;;;33,23;0;0;0;0;0;0;0;0
30-11-2017;DEBM;2018.07;01-07-18;31-07-18;744;;;;;33,11;0;0;0;0;0;0;0;0
30-11-2017;DEBM;2018.08;01-08-18;31-08-18;744;;;;;34,58;0;0;0;0;0;0;0;0
30-11-2017;DEBM;2018.09;01-09-18;30-09-18;720;;;;;0,01;0;0;0;0;0;0;0;0
29-11-2017;DEBM;2017.11;01-11-17;30-11-17;720;;;;;40,37;0;0;0;0;0;0;1347120;1871
